distance,cab_type,time_stamp,destination,source,price,surge_multiplier,id,product_id,name,temp,location,clouds,pressure,rain,humidity,wind
1.22,Uber,2018-11-28 09:32:18,Northeastern University,Back Bay,10.5,1.0,85de4cd6-9dfb-42f1-a365-66ea58c2d3ca,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,33.54,Back Bay,0.42,991.75,,0.83,5.9
1.22,Uber,2018-11-28 09:32:18,Northeastern University,Back Bay,10.5,1.0,85de4cd6-9dfb-42f1-a365-66ea58c2d3ca,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,33.49,Beacon Hill,0.42,991.8,,0.84,5.89
1.22,Uber,2018-11-28 09:32:18,Northeastern University,Back Bay,10.5,1.0,85de4cd6-9dfb-42f1-a365-66ea58c2d3ca,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,33.59,Boston University,0.42,991.81,,0.83,5.78
1.22,Uber,2018-11-28 09:32:18,Northeastern University,Back Bay,10.5,1.0,85de4cd6-9dfb-42f1-a365-66ea58c2d3ca,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,33.3,Fenway,0.42,991.82,,0.84,5.82
1.22,Uber,2018-11-28 09:32:18,Northeastern University,Back Bay,10.5,1.0,85de4cd6-9dfb-42f1-a365-66ea58c2d3ca,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,34.17,Financial District,0.42,991.74,,0.81,5.97
1.22,Uber,2018-11-28 09:32:18,Northeastern University,Back Bay,10.5,1.0,85de4cd6-9dfb-42f1-a365-66ea58c2d3ca,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,33.38,Haymarket Square,0.42,991.79,,0.84,5.92
1.22,Uber,2018-11-28 09:32:18,Northeastern University,Back Bay,10.5,1.0,85de4cd6-9dfb-42f1-a365-66ea58c2d3ca,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,33.42,North End,0.42,991.73,,0.84,5.95
1.22,Uber,2018-11-28 09:32:18,Northeastern University,Back Bay,10.5,1.0,85de4cd6-9dfb-42f1-a365-66ea58c2d3ca,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,33.33,North Station,0.42,991.79,,0.84,5.9
1.22,Uber,2018-11-28 09:32:18,Northeastern University,Back Bay,10.5,1.0,85de4cd6-9dfb-42f1-a365-66ea58c2d3ca,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,33.21,Northeastern University,0.42,991.82,,0.84,5.87
1.22,Uber,2018-11-28 09:32:18,Northeastern University,Back Bay,10.5,1.0,85de4cd6-9dfb-42f1-a365-66ea58c2d3ca,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,34.13,South Station,0.42,991.75,,0.81,5.98
